,Population in Harris County,Population in Fort Bend County,Population in Montgomery County,Population in Galveston County,Population in Brazoria County,Population in Liberty County,Population in Waller County,Population in Chambers County,Population in Austin County
1990-01-01,2835.927,228.19099999999997,184.06599999999997,218.363,192.644,52.887,23.506999999999998,20.144000000000002,19.891
1991-01-01,2912.0409999999997,240.604,192.732,222.854,198.707,53.848,23.474,20.442,20.183
1992-01-01,2982.258,253.352,202.37400000000002,227.40599999999998,203.275,55.051,24.655,20.756,20.643
1993-01-01,3033.757,264.94,211.878,232.199,208.005,56.645,25.718000000000004,21.263,21.159000000000002
1994-01-01,3080.698,275.507,221.428,234.55700000000002,212.209,58.925,26.715999999999998,21.901,21.414
1995-01-01,3121.6209999999996,286.309,231.81599999999997,237.332,215.771,62.538999999999994,27.590999999999998,22.773000000000003,21.822
1996-01-01,3172.9590000000003,299.863,243.22099999999998,240.12599999999998,220.274,63.793,28.7,23.546,22.107
1997-01-01,3229.3379999999997,312.547,255.55700000000002,242.71200000000002,225.38099999999997,65.527,29.45,24.358,22.34
1998-01-01,3295.05,327.99,269.043,245.644,231.205,66.572,30.6,25.086,22.723000000000003
1999-01-01,3359.671,343.37199999999996,284.27099999999996,248.893,237.602,68.661,31.743000000000002,25.515,23.129
2000-01-01,3414.304,358.579,297.305,250.71099999999998,243.18599999999998,70.586,32.726,26.125,23.820999999999998
2001-01-01,3483.804,374.921,311.548,254.502,248.315,71.723,33.119,26.513,24.241
2002-01-01,3559.095,396.33099999999996,326.712,260.034,255.263,73.374,33.917,26.949,24.629
2003-01-01,3618.297,416.167,341.82199999999995,265.12,261.22,73.87,34.613,27.221999999999998,25.096999999999998
2004-01-01,3672.2859999999996,437.44199999999995,358.006,269.45799999999997,267.846,74.441,34.601,27.675,25.575
2005-01-01,3733.7140000000004,457.99300000000005,373.00699999999995,274.35400000000004,273.999,74.484,34.436,28.033,25.815
2006-01-01,3856.3959999999997,484.13699999999994,392.981,278.626,283.8,74.493,34.836999999999996,28.342,26.197
2007-01-01,3909.8590000000004,507.899,411.961,283.29400000000004,292.948,74.851,35.725,28.795,26.713
2008-01-01,3981.948,532.169,430.385,288.214,301.086,75.337,35.884,29.393,27.087
2009-01-01,4074.423,556.028,446.4,287.04400000000004,309.08799999999997,75.581,36.684,31.546,27.291
2010-01-01,4107.854,590.286,459.185,292.47,314.453,75.85600000000001,43.513000000000005,35.445,28.357
2011-01-01,4180.816,606.499,471.43800000000005,295.60900000000004,319.274,75.97,44.088,35.683,28.57
2012-01-01,4262.689,625.394,484.45300000000003,301.059,324.433,76.34,44.353,36.489000000000004,28.516
2013-01-01,4353.517,652.496,498.467,306.66200000000003,330.17,76.827,45.413000000000004,37.35,28.651
2014-01-01,4452.695,683.943,516.798,313.60900000000004,337.782,78.014,46.798,38.283,28.94
2015-01-01,4551.362,713.8810000000001,535.214,321.305,345.73800000000006,79.542,48.638999999999996,39.059,29.447
2016-01-01,4617.041,741.9580000000001,554.5219999999999,329.306,353.82800000000003,81.377,50.058,40.283,29.636999999999997
2017-01-01,4652.98,764.828,570.934,335.036,362.457,83.65799999999999,51.306999999999995,41.441,29.785999999999998
