,Population in Harris County,Population in Fort Bend County,Population in Montgomery County,Population in Galveston County,Population in Brazoria County,Population in Liberty County,Population in Waller County,Population in Chambers County,Population in Austin County
1990-01-01,2835.927,228.191,184.066,218.363,192.644,52.887,23.507,20.144,19.891
1991-01-01,2912.041,240.604,192.732,222.854,198.707,53.848,23.474,20.442,20.183
1992-01-01,2982.258,253.352,202.374,227.406,203.275,55.051,24.655,20.756,20.643
1993-01-01,3033.757,264.940,211.878,232.199,208.005,56.645,25.718,21.263,21.159
1994-01-01,3080.698,275.507,221.428,234.557,212.209,58.925,26.716,21.901,21.414
1995-01-01,3121.621,286.309,231.816,237.332,215.771,62.539,27.591,22.773,21.822
1996-01-01,3172.959,299.863,243.221,240.126,220.274,63.793,28.700,23.546,22.107
1997-01-01,3229.338,312.547,255.557,242.712,225.381,65.527,29.450,24.358,22.340
1998-01-01,3295.050,327.990,269.043,245.644,231.205,66.572,30.600,25.086,22.723
1999-01-01,3359.671,343.372,284.271,248.893,237.602,68.661,31.743,25.515,23.129
2000-01-01,3414.304,358.579,297.305,250.711,243.186,70.586,32.726,26.125,23.821
2001-01-01,3483.804,374.921,311.548,254.502,248.315,71.723,33.119,26.513,24.241
2002-01-01,3559.095,396.331,326.712,260.034,255.263,73.374,33.917,26.949,24.629
2003-01-01,3618.297,416.167,341.822,265.120,261.220,73.870,34.613,27.222,25.097
2004-01-01,3672.286,437.442,358.006,269.458,267.846,74.441,34.601,27.675,25.575
2005-01-01,3733.714,457.993,373.007,274.354,273.999,74.484,34.436,28.033,25.815
2006-01-01,3856.396,484.137,392.981,278.626,283.800,74.493,34.837,28.342,26.197
2007-01-01,3909.859,507.899,411.961,283.294,292.948,74.851,35.725,28.795,26.713
2008-01-01,3981.948,532.169,430.385,288.214,301.086,75.337,35.884,29.393,27.087
2009-01-01,4074.423,556.028,446.400,287.044,309.088,75.581,36.684,31.546,27.291
2010-01-01,4107.854,590.286,459.185,292.470,314.453,75.856,43.513,35.445,28.357
2011-01-01,4180.816,606.499,471.438,295.609,319.274,75.970,44.088,35.683,28.570
2012-01-01,4262.689,625.394,484.453,301.059,324.433,76.340,44.353,36.489,28.516
2013-01-01,4353.517,652.496,498.467,306.662,330.170,76.827,45.413,37.350,28.651
2014-01-01,4452.695,683.943,516.798,313.609,337.782,78.014,46.798,38.283,28.940
2015-01-01,4551.362,713.881,535.214,321.305,345.738,79.542,48.639,39.059,29.447
2016-01-01,4617.041,741.958,554.522,329.306,353.828,81.377,50.058,40.283,29.637
2017-01-01,4652.980,764.828,570.934,335.036,362.457,83.658,51.307,41.441,29.786
