DATE,ATNHPIUS12420Q
1977-04-01,39.09
1977-07-01,40.94
1977-10-01,43.09
1978-01-01,44.62
1978-04-01,46.65
1978-07-01,48.41
1978-10-01,49.67
1979-01-01,52.85
1979-04-01,52.9
1979-07-01,56.38
1979-10-01,59.31
1980-01-01,58.82
1980-04-01,64.25
1980-07-01,60.74
1980-10-01,61.68
1981-01-01,63.83
1981-04-01,66.91
1981-07-01,69.00
1981-10-01,68.13
1982-01-01,70.62
1982-04-01,71.57
1982-07-01,71.55
1982-10-01,75.12
1983-01-01,75.93
1983-04-01,78.21
1983-07-01,79.16
1983-10-01,81.91
1984-01-01,83.26
1984-04-01,87.19
1984-07-01,90.80
1984-10-01,92.35
1985-01-01,94.12
1985-04-01,97.67
1985-07-01,97.22
1985-10-01,97.24
1986-01-01,97.86
1986-04-01,99.56
1986-07-01,98.29
1986-10-01,96.22
1987-01-01,93.91
1987-04-01,92.26
1987-07-01,85.52
1987-10-01,81.68
1988-01-01,79.62
1988-04-01,91.78
1988-07-01,75.62
1988-10-01,74.02
1989-01-01,73.33
1989-04-01,73.18
1989-07-01,74.14
1989-10-01,73.02
1990-01-01,72.82
1990-04-01,73.07
1990-07-01,72.33
1990-10-01,72.92
1991-01-01,75.06
1991-04-01,76.96
1991-07-01,77.79
1991-10-01,78.25
1992-01-01,80.25
1992-04-01,82.11
1992-07-01,84.51
1992-10-01,85.69
1993-01-01,87.70
1993-04-01,89.69
1993-07-01,92.94
1993-10-01,94.97
1994-01-01,96.88
1994-04-01,99.73
1994-07-01,100.19
1994-10-01,100.07
1995-01-01,100.00
1995-04-01,102.15
1995-07-01,104.19
1995-10-01,105.11
1996-01-01,105.88
1996-04-01,106.3
1996-07-01,106.27
1996-10-01,107.43
1997-01-01,107.09
1997-04-01,107.26
1997-07-01,107.59
1997-10-01,109.38
1998-01-01,110.77
1998-04-01,111.86
1998-07-01,113.36
1998-10-01,115.14
1999-01-01,116.59
1999-04-01,120.2
1999-07-01,123.65
1999-10-01,127.01
2000-01-01,130.7
2000-04-01,135.90
2000-07-01,140.62
2000-10-01,142.75
2001-01-01,148.53
2001-04-01,150.66
2001-07-01,150.29
2001-10-01,151.17
2002-01-01,150.76
2002-04-01,151.13
2002-07-01,153.49
2002-10-01,154.17
2003-01-01,154.14
2003-04-01,154.15
2003-07-01,153.03
2003-10-01,153.75
2004-01-01,154.06
2004-04-01,154.64
2004-07-01,154.77
2004-10-01,157.25
2005-01-01,158.1
2005-04-01,161.43
2005-07-01,164.52
2005-10-01,166.61
2006-01-01,168.79
2006-04-01,174.24
2006-07-01,177.83
2006-10-01,181.34
2007-01-01,185.79
2007-04-01,191.19
2007-07-01,192.96
2007-10-01,194.64
2008-01-01,197.99
2008-04-01,199.05
2008-07-01,198.53
2008-10-01,199.24
2009-01-01,199.41
2009-04-01,197.2
2009-07-01,195.7
2009-10-01,195.18
2010-01-01,194.19
2010-04-01,194.16
2010-07-01,195.57
2010-10-01,194.28
2011-01-01,190.6
2011-04-01,190.89
2011-07-01,192.67
2011-10-01,194.75
2012-01-01,194.14
2012-04-01,196.09
2012-07-01,199.27
2012-10-01,201.79
2013-01-01,205.32
2013-04-01,211.21
2013-07-01,218.19
2013-10-01,222.26
2014-01-01,227.62
2014-04-01,238.19
2014-07-01,243.52
2014-10-01,246.41
2015-01-01,249.88
2015-04-01,259.96
2015-07-01,267.88
2015-10-01,270.25
2016-01-01,275.19
2016-04-01,283.63
2016-07-01,290.67
2016-10-01,292.3
2017-01-01,296.78
2017-04-01,306.95
2017-07-01,311.55
2017-10-01,313.5
2018-01-01,318.32
2018-04-01,326.51
2018-07-01,332.13
