DATE,ATNHPIUS19124Q
1976-01-01,39.84
1976-04-01,45.8
1976-07-01,42.37
1976-10-01,42.23
1977-01-01,45.1
1977-04-01,51.63
1977-07-01,47.19
1977-10-01,49.46
1978-01-01,51.74
1978-04-01,56.47
1978-07-01,58.53
1978-10-01,60.2
1979-01-01,62.58
1979-04-01,68.2
1979-07-01,69.54
1979-10-01,72.16
1980-01-01,75.18
1980-04-01,76.02
1980-07-01,78.51
1980-10-01,80.12
1981-01-01,81.95
1981-04-01,83.79
1981-07-01,85.56
1981-10-01,86.67
1982-01-01,88.72
1982-04-01,87.22
1982-07-01,88.99
1982-10-01,92.01
1983-01-01,92.31
1983-04-01,93.94
1983-07-01,95.29
1983-10-01,97.55
1984-01-01,98.02
1984-04-01,100.09
1984-07-01,102.31
1984-10-01,102.60
1985-01-01,103.16
1985-04-01,105.46
1985-07-01,106.5
1985-10-01,106.94
1986-01-01,107.27
1986-04-01,109.72
1986-07-01,108.61
1986-10-01,108.05
1987-01-01,107.58
1987-04-01,103.46
1987-07-01,102.41
1987-10-01,99.46
1988-01-01,99.12
1988-04-01,98.69
1988-07-01,96.14
1988-10-01,94.63
1989-01-01,93.88
1989-04-01,94.16
1989-07-01,95.81
1989-10-01,95.27
1990-01-01,94.53
1990-04-01,95.07
1990-07-01,95.30
1990-10-01,94.55
1991-01-01,95.79
1991-04-01,96.31
1991-07-01,95.64
1991-10-01,97.36
1992-01-01,98.62
1992-04-01,97.67
1992-07-01,99.30
1992-10-01,99.42
1993-01-01,99.30
1993-04-01,100.06
1993-07-01,100.61
1993-10-01,101.34
1994-01-01,101.57
1994-04-01,100.97
1994-07-01,100.58
1994-10-01,99.96
1995-01-01,100.00
1995-04-01,101.48
1995-07-01,103.19
1995-10-01,104
1996-01-01,105.05
1996-04-01,104.92
1996-07-01,105.70
1996-10-01,106.05
1997-01-01,106.98
1997-04-01,107.82
1997-07-01,108.84
1997-10-01,110.30
1998-01-01,112.17
1998-04-01,112.93
1998-07-01,115.28
1998-10-01,116.75
1999-01-01,117.83
1999-04-01,120.38
1999-07-01,122.01
1999-10-01,123.65
2000-01-01,126.04
2000-04-01,127.85
2000-07-01,129.53
2000-10-01,131.21
2001-01-01,134.77
2001-04-01,136.75
2001-07-01,137.96
2001-10-01,139.71
2002-01-01,140.32
2002-04-01,141.50
2002-07-01,143.62
2002-10-01,144.67
2003-01-01,145.33
2003-04-01,146.11
2003-07-01,146.67
2003-10-01,147.21
2004-01-01,148.12
2004-04-01,149.09
2004-07-01,149.65
2004-10-01,151.12
2005-01-01,151.84
2005-04-01,153.43
2005-07-01,155.14
2005-10-01,155.95
2006-01-01,156.96
2006-04-01,158.17
2006-07-01,159.24
2006-10-01,160.38
2007-01-01,161.72
2007-04-01,164.5
2007-07-01,163.15
2007-10-01,164.15
2008-01-01,165.55
2008-04-01,165.17
2008-07-01,164.4
2008-10-01,165.03
2009-01-01,167.55
2009-04-01,165.62
2009-07-01,162.72
2009-10-01,163.03
2010-01-01,162.4
2010-04-01,162.37
2010-07-01,163.44
2010-10-01,162.37
2011-01-01,159.4
2011-04-01,157.95
2011-07-01,160.14
2011-10-01,159.61
2012-01-01,159.48
2012-04-01,159.98
2012-07-01,161.46
2012-10-01,163.20
2013-01-01,164.39
2013-04-01,168.47
2013-07-01,172.28
2013-10-01,174.31
2014-01-01,178.36
2014-04-01,184.1
2014-07-01,187.63
2014-10-01,189.79
2015-01-01,194.35
2015-04-01,200.96
2015-07-01,206.98
2015-10-01,209.51
2016-01-01,214.46
2016-04-01,222.31
2016-07-01,227.26
2016-10-01,231.28
2017-01-01,237.32
2017-04-01,247.87
2017-07-01,253.09
2017-10-01,255.91
2018-01-01,260.13
2018-04-01,267.44
2018-07-01,272.26
